COMMONNAME,Minimum age at encounter,Banding date,Banding region,Age at banding,Sex,Encounter date,Encounter region,How bird and band were obtained,Condition of bird/band at encounter
Tristram's Storm-Petrel,8 years 09 months,3/21/1965,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",After Hatching Year,Unknown,3/14/1973,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Tristram's Storm-Petrel,7 years 10 months,2/26/1963,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",After Hatching Year,Unknown,4/15/1970,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Previously banded bird trapped and released during banding operations,Alive - Released/Removed
Tristram's Storm-Petrel,6 years 08 months,2/27/1963,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",After Hatching Year,Unknown,2/11/1969,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Red-billed Tropicbird,17 years 07 months,2/18/1980,Lesser Antilles,After Third Year,Unknown,1/25/1995,Lesser Antilles,Previously banded bird trapped and released during banding operations,Alive - Released/Removed
Red-billed Tropicbird,15 years 09 months,3/15/1979,Lesser Antilles,After Second Year,Unknown,3/6/1993,Lesser Antilles,Previously banded bird trapped and released during banding operations,Alive - Released/Removed
Red-billed Tropicbird,12 years 09 months,2/18/1977,Lesser Antilles,After Second Year,Unknown,3/22/1988,Lesser Antilles,Previously banded bird trapped and released during banding operations,Alive - Released/Removed
Red-billed Tropicbird,5 years 03 months,12/8/1976,Lesser Antilles,After Hatching Year,Unknown,9/21/1980,Lesser Antilles,Previously banded bird trapped and released during banding operations,Alive - Released/Removed
Red-tailed Tropicbird,32 years 08 months,9/26/1968,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Local,Unknown,02/99/2001,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Red-tailed Tropicbird,28 years 07 months,7/18/1967,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Local,Unknown,1/27/1996,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Red-tailed Tropicbird,25 years 10 months,9/8/1969,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",After Third Year,Unknown,4/9/1992,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Red-tailed Tropicbird,22 years 09 months,7/23/1964,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",After Hatching Year,Unknown,3/30/1986,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Caught by hand.,Alive - Released/Left On Bird
Red-tailed Tropicbird,21 years 09 months,10/9/1964,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Local,Unknown,3/30/1986,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Caught by hand.,Alive - Released/Left On Bird
Red-tailed Tropicbird,18 years 01 months,6/26/1963,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",After Hatching Year,Unknown,7/4/1980,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Previously banded bird trapped and released during banding operations,Alive - Released/Removed
Red-tailed Tropicbird,13 years 09 months,2/13/1965,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",After Hatching Year,Unknown,3/5/1978,At Sea (oceans),Caught by hand.,Alive - Released/Unknown
Red-tailed Tropicbird,13 years 01 months,9/5/1966,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",After Hatching Year,Unknown,7/27/1978,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Caught or observed at or in nest.,Alive - Released/Removed
Wood Stork,22 years 04 months,6/3/1994,Georgia,Local,Unknown,10/11/2016,Florida,Sight record: band read by telescope or other means while bird was free.,Alive - Released/Left On Bird
Wood Stork,20 years 02 months,6/3/1994,Georgia,Local,Unknown,8/6/2014,South Carolina,"Sight record: identified by color band, marked plumage or marker other than standard, numbered metal band.",Alive - Released/Left On Bird
Wood Stork,17 years 09 months,6/3/1994,Georgia,Local,Unknown,3/4/2012,Florida,"Sight record: identified by color band, marked plumage or marker other than standard, numbered metal band.",Alive - Released/Left On Bird
Wood Stork,17 years 08 months,7/16/1985,Georgia,After Third Year,Unknown,2/25/2000,Florida,Caught or found dead due to: starvation,Alive - Released/Left On Bird
Wood Stork,16 years 08 months,6/1/1979,Florida,Local,Unknown,02/99/1996,Florida,Found dead or injured on highway.,Dead/Removed
Wood Stork,6 years 08 months,4/18/1974,Florida,Local,Unknown,12/99/1980,Florida,Found dead.,Dead/Removed
Magnificent Frigatebird,19 years 09 months,5/21/1989,Lesser Antilles,Local,Unknown,2/17/2009,Lesser Antilles,Captured for Scientific Purposes (not collected). Status changed.,Alive - Released/Left On Bird
Magnificent Frigatebird,13 years 08 months,4/26/1989,Lesser Antilles,Local,Unknown,12/31/2002,Lesser Antilles,Found dead.,Dead/Removed
Magnificent Frigatebird,6 years 02 months,11/9/1972,Lesser Antilles,Hatching Year,Female,8/2/1978,Lesser Antilles,Caught by or due to: entanglement in fishing gear,Dead/Removed
Magnificent Frigatebird,5 years 10 months,4/13/1967,Mexico,Local,Unknown,2/18/1973,Mexico,Caught by or due to: entanglement in fishing gear,Alive - Released/Removed
Great Frigatebird,43 years 00 months,6/13/1963,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Local,Unknown,6/12/2006,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Found dead.,Dead/Removed
Great Frigatebird,38 years 02 months,11/11/1964,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Hatching Year,Unknown,8/20/2002,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Great Frigatebird,36 years 07 months,6/13/1963,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Local,Unknown,1/28/2000,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Captured for Scientific Purposes (not collected). Status changed.,Alive - Released/Left On Bird
Great Frigatebird,35 years 00 months,6/13/1963,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Local,Unknown,6/25/1998,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Captured for Scientific Purposes (not collected). Status changed.,Alive - Released/Left On Bird
Great Frigatebird,34 years 08 months,8/24/1965,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Hatching Year,Unknown,2/25/2000,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Great Frigatebird,33 years 09 months,8/13/1965,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Local,Unknown,3/2/1999,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Captured for Scientific Purposes (not collected). Status changed.,Alive - Released/Left On Bird
Great Frigatebird,33 years 07 months,6/13/1963,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Local,Unknown,1/26/1997,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Great Frigatebird,33 years 00 months,6/18/1966,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",After Hatching Year,Female,6/4/1998,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Previously banded bird trapped and released during banding operations,Alive - Released/Removed
Great Frigatebird,31 years 10 months,8/14/1965,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Local,Unknown,4/8/1997,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Found dead.,Dead/Removed
Great Frigatebird,30 years 10 months,6/16/1966,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",After Hatching Year,Female,4/4/1996,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Great Frigatebird,20 years 05 months,6/23/1966,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",After Hatching Year,Female,11/4/1985,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Found dead.,Dead/Removed
Lesser Frigatebird,27 years 07 months,11/4/1964,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Local,Unknown,1/5/1992,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Found dead.,Dead/Left On Bird
Lesser Frigatebird,24 years 08 months,10/19/1964,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Local,Unknown,2/15/1989,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Caught by hand.,Alive - In Captivity/Left On Bird
Lesser Frigatebird,24 years 06 months,11/10/1964,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Local,Unknown,12/10/1988,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Caught by hand.,Dead/Unknown
Lesser Frigatebird,23 years 09 months,11/10/1964,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Local,Unknown,3/15/1988,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Caught by or due to: entanglement in fishing gear,Alive - Released/Removed
Lesser Frigatebird,23 years 05 months,10/12/1964,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Local,Unknown,11/25/1987,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Caught by or due to: entanglement in fishing gear,Dead/Removed
Lesser Frigatebird,21 years 07 months,10/19/1963,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Local,Unknown,1/18/1985,At Sea (oceans),Caught by or due to: traps or snares OTHER THAN devices used to catch birds for banding.,Unknown/Removed
Lesser Frigatebird,20 years 01 months,11/17/1963,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Local,Unknown,7/15/1983,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Caught by or due to: entanglement in fishing gear,Dead/Removed
Lesser Frigatebird,18 years 03 months,10/12/1964,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Local,Unknown,9/2/1982,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Caught by or due to: entanglement in fishing gear,Alive - Released/Left On Bird
Lesser Frigatebird,17 years 08 months,10/13/1964,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Local,Unknown,02/99/1982,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Caught by hand.,Unknown/Removed
Lesser Frigatebird,17 years 00 months,11/12/1964,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",After Hatching Year,Male,6/10/1980,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Found dead.,Dead/Unknown
Lesser Frigatebird,15 years 09 months,10/10/1966,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",After Hatching Year,Female,3/2/1981,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Caught by hand.,Dead/Unknown
Lesser Frigatebird,13 years 08 months,10/10/1964,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Local,Unknown,2/6/1978,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Caught by or due to: traps or snares OTHER THAN devices used to catch birds for banding.,Alive - In Captivity/Removed
Lesser Frigatebird,13 years 00 months,11/11/1964,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Local,Unknown,6/23/1977,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Caught by hand.,Dead/Removed
Lesser Frigatebird,11 years 08 months,10/12/1964,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Local,Unknown,2/17/1976,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Caught due to: injury,Dead/Removed
Lesser Frigatebird,11 years 08 months,10/13/1964,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Local,Unknown,02/99/1976,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Caught by or due to: entanglement in fishing gear,Dead/Removed
Masked Booby,25 years 03 months,9/11/1941,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Juvenile,Unknown,9/19/1966,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Miscellaneous. Method of recovery not covered by other codes.,Alive - Released/Left On Bird
Masked Booby,22 years 02 months,3/22/1957,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Local,Unknown,5/23/1979,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Previously banded bird trapped and released during banding operations,Alive - Released/Removed
Brown Booby,26 years 00 months,10/10/1964,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",After Hatching Year,Male,82/99/1989,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Shot.,Dead/Removed
Brown Booby,24 years 00 months,6/19/1963,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",After Hatching Year,"Female, sexed upon recapture",6/7/1986,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Brown Booby,23 years 07 months,2/24/1964,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",After Hatching Year,Female,1/1/1987,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Found dead.,Dead/Removed
Brown Booby,21 years 04 months,8/6/1962,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Hatching Year,Unknown,10/11/1983,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Brown Booby,19 years 08 months,7/25/1963,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",After Hatching Year,"Female, sexed upon recapture",2/9/1982,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Brown Booby,19 years 01 months,5/14/1965,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",After Hatching Year,Male,7/15/1983,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Brown Booby,18 years 09 months,4/29/1965,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",After Hatching Year,Unknown,3/29/1983,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Brown Booby,14 years 04 months,10/27/1964,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",After Hatching Year,Male,10/29/1977,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Caught by hand.,Dead/Removed
Brown Booby,12 years 10 months,7/5/1966,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",After Hatching Year,Male,4/20/1978,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Caught by hand.,Alive - Released/Left On Bird
Brown Booby,11 years 09 months,5/10/1966,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",After Hatching Year,Male,3/21/1977,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Found dead.,Dead/Removed
Brown Booby,11 years 09 months,4/11/1969,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",After Third Year,Male,3/22/1978,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Shot.,Dead/Removed
Brown Booby,10 years 07 months,10/16/1964,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",After Hatching Year,Female,1/26/1974,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Caught by hand.,Alive - In Captivity/Removed
Red-footed Booby,22 years 11 months,8/5/1979,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Hatching Year,Unknown,5/19/2002,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Died in nest.,Dead/Removed
Red-footed Booby,21 years 11 months,6/14/1947,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",After Hatching Year,Unknown,5/27/1968,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Found dead.,Dead/Removed
Northern Gannet,26 years 01 months,9/11/1966,Québec,Local,Unknown,7/25/1992,Québec,Found dead.,Dead/Removed
Northern Gannet,21 years 10 months,9/9/1967,Québec,Local,Unknown,4/4/1989,"Oceania (including Hawaii), Australia, New Zealand and Phillipines",Caught by or due to: entanglement in fishing gear,Dead/Removed
Northern Gannet,20 years 05 months,9/9/1967,Québec,Local,Unknown,11/16/1987,Massachusetts,Found dead.,Dead/Unknown
Northern Gannet,20 years 05 months,9/9/1967,Québec,Local,Unknown,11/14/1987,Massachusetts,Found dead.,Dead/Unknown
Northern Gannet,12 years 02 months,9/11/1966,Québec,Local,Unknown,8/30/1978,New Brunswick,Found dead.,Dead/Removed
Brandt's Cormorant,17 years 10 months,7/20/1980,California,Local,Unknown,4/11/1998,California,Found dead.,Dead/Removed
Brandt's Cormorant,16 years 11 months,7/16/1974,California,Local,Unknown,5/26/1991,California,Found dead.,Dead/Removed
Brandt's Cormorant,9 years 05 months,8/9/1970,California,Local,Unknown,11/27/1979,California,Found dead.,Dead/Removed
Brandt's Cormorant,7 years 00 months,8/16/1961,California,Local,Unknown,82/99/1968,California,Found dead.,Dead/Removed
Neotropic Cormorant,11 years 09 months,4/27/1965,Louisiana,Unknown,Unknown,1/5/1977,Louisiana,Found dead.,Dead/Removed
Double-crested Cormorant,22 years 06 months,6/26/1984,Ontario,Local,Unknown,12/24/2006,Louisiana,Found dead.,Dead/Removed
Double-crested Cormorant,19 years 11 months,6/23/1989,Ontario,Local,Unknown,5/29/2009,Ontario,"Caught by or due to: hawks, owls, or other raptors.",Dead/Removed
Double-crested Cormorant,19 years 06 months,6/22/1986,Michigan,Local,Unknown,12/5/2005,Mississippi,Collected as Scientific Specimen or captured for a Scientific Study. (NOT FOR BANDING),Dead/Removed
Double-crested Cormorant,18 years 11 months,6/22/1986,Michigan,Local,Unknown,5/6/2005,Michigan,"Caught or found dead due to: control operations (roost bombing, gassing, avicides, wetting agents, etc.)",Dead/Removed
Double-crested Cormorant,18 years 05 months,8/15/1983,Wisconsin,Local,Unknown,11/12/2001,Mississippi,"Caught or found dead due to: control operations (roost bombing, gassing, avicides, wetting agents, etc.)",Dead/Unknown
Double-crested Cormorant,17 years 11 months,6/21/1984,Ontario,Local,Unknown,05/99/2002,Minnesota,Found dead.,Dead/Unknown
Double-crested Cormorant,17 years 10 months,7/5/1984,Ontario,Local,Unknown,4/2/2002,Arkansas,"Caught or found dead due to: control operations (roost bombing, gassing, avicides, wetting agents, etc.)",Dead/Removed
Double-crested Cormorant,17 years 09 months,7/1/1966,Saskatchewan,Local,Unknown,3/30/1984,Texas,Found dead.,Dead/Removed
Double-crested Cormorant,17 years 08 months,6/30/1941,Québec,Local,Unknown,02/99/1959,Florida,Found dead.,Dead/Unknown
Double-crested Cormorant,12 years 06 months,6/26/1965,Maine,Local,Unknown,12/26/1977,Florida,Found dead.,Dead/Removed
Red-faced Cormorant,5 years 03 months,8/3/2009,Alaska,Local,Unknown,9/3/2014,Alaska,"Sight record: identified by color band, marked plumage or marker other than standard, numbered metal band.",Alive - Released/Left On Bird
Pelagic Cormorant,17 years 10 months,7/29/1956,British Columbia,Local,Unknown,4/29/1974,British Columbia,Found dead.,Dead/Removed
Anhinga,12 years 00 months,5/24/1936,Mississippi,Unknown,Unknown,5/20/1948,Louisiana,Shot.,Dead/Unknown
Anhinga,11 years 10 months,6/15/1947,Mississippi,Unknown,Unknown,4/20/1959,Mexico,Found dead.,Dead/Unknown
American White Pelican,23 years 6 months,8/3/1983,North Dakota,Local,Unknown,12/99/2006,North Dakota,Shot.,Dead/Left On Bird
Brown Pelican,27 years 10 months,6/17/1972,South Carolina,Local,Unknown,4/5/2000,Florida,Caught due to: parasite infestation,Alive - Released/Left On Bird
Brown Pelican,21 years 08 months,5/25/1974,South Carolina,Local,Unknown,1/29/1996,South Carolina,Found dead.,Dead/Removed
Brown Pelican,20 years 09 months,6/23/1968,South Carolina,Local,Unknown,3/1/1989,Georgia,Caught by hand.,Alive - In Captivity/Left On Bird
Brown Pelican,19 years 09 months,7/6/1969,South Carolina,Local,Unknown,3/29/1989,Florida,Found dead.,Dead/Removed
Brown Pelican,19 years 08 months,6/23/1951,Florida,Local,Unknown,2/11/1971,Florida,Found dead.,Dead/Removed
Brown Pelican,19 years 02 months,11/4/1934,Florida,Hatching Year,Unknown,8/2/1953,Cuba,Found dead.,Dead/Unknown
Brown Pelican,17 years 07 months,6/8/1963,South Carolina,Local,Unknown,1/14/1981,Georgia,Found dead.,Dead/Removed
American Bittern,8 years 04 months,4/28/1940,Ontario,After Hatching Year,Unknown,10/41/1947,Ontario,Found dead.,Dead/Unknown
Great Blue Heron,24 years 06 months,6/8/1977,Texas,Local,Unknown,12/15/2001,Texas,Found dead.,Dead/Removed
Great Blue Heron,23 years 03 months,6/21/1947,Ontario,Juvenile,Unknown,9/11/1970,Ontario,Found dead.,Dead/Removed
Great Egret,22 years 10 months,6/29/1947,Ohio,Local,Unknown,4/25/1970,Ohio,Illegally taken,Dead/Left On Bird
Snowy Egret,17 years 07 months,7/2/1970,Colorado,Local,Unknown,1/7/1988,Mexico,Shot.,Dead/Removed
Snowy Egret,16 years 11 months,7/4/1968,Colorado,Local,Unknown,5/23/1985,Colorado,Found dead.,Dead/Removed
Snowy Egret,11 years 03 months,6/15/1952,Utah,Local,Unknown,9/20/1963,Utah,Found dead.,Dead/Unknown
Little Blue Heron,13 years 11 months,6/16/1957,Virginia,Local,Unknown,05/42/1971,Maryland,Found dead.,Dead/Removed
Tricolored Heron,17 years 08 months,6/6/1958,Virginia,Local,Unknown,2/12/1976,Bahama Islands,Shot.,Dead/Removed
Cattle Egret,17 years 00 months,7/1/1962,Maryland,Local,Unknown,6/22/1979,Pennsylvania,Caught by or due to: miscellaneous animal.,Alive - Released/Left On Bird
Cattle Egret,13 years 00 months,6/21/1964,South Carolina,Local,Unknown,6/9/1977,South Carolina,Caught due to striking or being struck by: moving farm machinery.,Dead/Removed
Green Heron,7 years 11 months,6/2/1971,Oklahoma,Local,Unknown,5/15/1979,Mexico,Shot.,Dead/Removed
Black-crowned Night-Heron,21 years 5 months,10/15/1992,California,After Hatching Year,Unknown,11/14/2012,California,Found dead.,Dead/Removed
Black-crowned Night-Heron,21 years 01 months,6/6/1952,Ohio,Local,"Female, sexed upon recapture",7/9/1973,Ohio,Collected as Scientific Specimen or captured for a Scientific Study. (NOT FOR BANDING),Dead/Unknown
Black-crowned Night-Heron,17 years 08 months,7/2/1960,Maryland,Local,Unknown,2/26/1978,Florida,Found dead.,Dead/Removed
Black-crowned Night-Heron,12 years 11 months,6/18/1965,Minnesota,Local,Unknown,5/23/1978,South Dakota,Found dead.,Dead/Removed
Yellow-crowned Night-Heron,6 years 03 months,7/20/1974,Mexico,Local,Unknown,9/9/1980,Mexico,Shot.,Dead/Removed
White Ibis,16 years 04 months,6/14/1956,Alabama,Local,Unknown,10/3/1972,Florida,Collected as Scientific Specimen or captured for a Scientific Study. (NOT FOR BANDING),Dead/Removed
Glossy Ibis,21 years 00 months,6/12/1971,Virginia,Local,Unknown,6/3/1992,Virginia,Found dead.,Dead/Removed
Glossy Ibis,14 years 05 months,5/22/1965,South Carolina,Local,Unknown,10/9/1979,Cuba,Shot.,Dead/Unknown
Glossy Ibis,11 years 05 months,6/2/1966,Maryland,Local,Unknown,11/6/1977,Dominican Republic and Haiti,Shot.,Dead/Unknown
Glossy Ibis,8 years 11 months,5/30/1970,Virginia,Local,Unknown,4/14/1979,Newfoundland and Labrador and St. Pierre et Miquelon,"Caught due to striking: radio, TV, high tension, etc. wires or towers, or ceilometers.",Dead/Removed
Glossy Ibis,8 years 03 months,6/5/1965,South Carolina,Local,Unknown,93/99/1973,Dominican Republic and Haiti,Shot.,Dead/Removed
White-faced Ibis,12 years 03 months,7/9/1982,Oregon,Local,Unknown,9/10/1994,California,Caught due to disease.,Alive - Released/Left On Bird
Roseate Spoonbill,15 years 10 months,12/30/1990,Florida,Local,Unknown,4/4/2006,Florida,Captured for Scientific Purposes (not collected). Status changed.,Alive - Released/Left On Bird
Roseate Spoonbill,7 years 10 months,5/27/1962,Texas,Local,Unknown,3/1/1970,Mexico,Found dead.,Dead/Unknown
Black Vulture,25 years 06 months,11/2/1940,Louisiana,Unknown,Unknown,12/99/1965,Louisiana,Found dead.,Dead/Removed
Turkey Vulture,16 years 10 months,4/9/1937,Ohio,After Hatching Year,Unknown,4/8/1953,Ohio,Found dead.,Dead/Unknown
Osprey,25 years 02 months,6/7/1973,Virginia,Local,Unknown,8/3/1998,Virginia,Found dead.,Dead/Removed
Osprey,23 years 00 months,6/28/1963,Maryland,Local,Unknown,6/18/1986,Maryland,Caught by hand.,Dead/Removed
Osprey,21 years 11 months,7/5/1948,New York,Local,Unknown,5/1/1970,New York,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Osprey,21 years 11 months,6/17/1957,Maryland,Local,Unknown,5/11/1979,Maryland,Found dead.,Dead/Removed
Osprey,18 years 10 months,6/22/1956,Maryland,Hatching Year,Unknown,4/5/1975,Maryland,Shot.,Dead/Removed
Osprey,18 years 08 months,6/21/1980,Maryland,Local,Unknown,2/20/1999,Brazil,Shot.,Dead/Unknown
Osprey,16 years 03 months,8/5/1962,Michigan,Local,Unknown,9/2/1978,Tennessee,Found dead.,Dead/Removed
Osprey,13 years 10 months,6/25/1964,Maryland,Local,Unknown,04/41/1978,At Sea (oceans),Caught by hand.,Dead/Left On Bird
Osprey,12 years 10 months,6/21/1963,Maryland,Local,Unknown,04/41/1976,Virginia,Bird caught or found dead in building or enclosure.,Dead/Removed
White-tailed Kite,6 years 00 months,5/4/1944,California,Local,Unknown,5/28/1950,California,Shot.,Dead/Unknown
Snail Kite,14 years 08 months,7/3/1979,Florida,Local,Unknown,2/14/1994,Florida,Found dead.,Dead/Removed
Snail Kite,12 years 10 months,3/21/1979,Florida,Local,Unknown,1/5/1992,Florida,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Snail Kite,7 years 00 months,6/18/1979,Florida,Local,Unknown,6/14/1986,Florida,"Sight record: identified by color band, marked plumage or marker other than standard, numbered metal band.",Alive - Released/Left On Bird
Mississippi Kite,11 years 02 months,8/2/1984,Kansas,Local,Unknown,8/11/1995,Texas,Found dead.,Dead/Removed
Mississippi Kite,8 years 02 months,8/1/1979,Louisiana,Hatching Year,Unknown,8/18/1987,Louisiana,Caught due to: pesticides. Birds reported killed or captured as a result of spray programs. Does not include avicides.,Alive - Released/Left On Bird
Mississippi Kite,7 years 02 months,7/29/1978,Oklahoma,Local,Unknown,8/23/1985,Oklahoma,Found dead.,Dead/Removed
Bald Eagle,38 years 00 months,8/5/1977,New York,Hatching Year,Unknown,6/2/2015,New York,Caught due to striking or being struck by: motor vehicle.,Dead/Removed
Bald Eagle,33 years 05 months,6/9/1981,Wisconsin,Local,Unknown,11/26/2014,Wisconsin,Found dead or injured on highway.,Dead/Left On Bird
Bald Eagle,32 years 10 months,6/23/1977,Maine,Hatching Year,Unknown,4/5/2010,New Brunswick,Caught due to striking or being struck by: motor vehicle.,Dead/Removed
Bald Eagle,31 years 04 months,6/22/1977,Michigan,Local,Unknown,10/2/2008,Wisconsin,Caught due to striking or being struck by: motor vehicle.,Alive - Released/Left On Bird
Bald Eagle,30 years 11 months,6/25/1977,Michigan,Local,Unknown,5/16/2008,Wisconsin,Found dead.,Dead/Unknown
Bald Eagle,29 years 09 months,7/12/1975,Ontario,Local,Unknown,3/24/2005,Iowa,Found dead.,Dead/Removed
Bald Eagle,29 years 08 months,5/28/1970,Michigan,Local,Unknown,1/24/2000,Michigan,Found dead.,Dead/Unknown
Bald Eagle,23 years 06 months,5/30/1976,Wisconsin,Local,Unknown,11/22/1999,Wisconsin,Found dead.,Dead/Left On Bird
Bald Eagle,22 years 09 months,6/10/1975,Wisconsin,After Second Year,Unknown,3/13/1998,Wisconsin,Found dead.,Dead/Removed
